channel,raw_text
email,下周三上午有一批从大连发来的货要进仓，大概14个托盘、45箱，麻烦帮忙预约入库时间，另外这批货需要重新贴标后再上架，贴标费用麻烦提前确认一下。
wechat,客户来电催件：COSU6686857685这票货说好上周五到纽约，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
email,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
email,我们在厦门有一批货要发悉尼，20GP一个，想问下最近一周的船期和运价，另外需要含拖车和报关的门到门报价。
email,帮我看下OOLU9974792298的报关单退税率是多少，品名是铝合金型材，客户说要按13%退税，我们不确定归类对不对，帮忙核一下。
wechat,客户来电催件：MAEU7222042835这票货说好上周五到长滩，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
wechat,从厦门到温哥华这条线的船期最近是不是延误严重？我们有两票货（提单号EMCS4564285982、HLCU8833234156）都比预计到港时间晚了一周以上，请给出最新的ETA。
wechat,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
email,MAEU6348258423这票目的港代理说找不到舱单信息，让核对提单号和船名航次，请尽快和船司确认是不是舱单没发送，急等。
wechat,请问仓库的收货时间是每天几点到几点？我们有一票货想约明天上午送仓，需要提前准备什么资料？
email,HLCU3220719599这票目的港代理说找不到舱单信息，让核对提单号和船名航次，请尽快和船司确认是不是舱单没发送，急等。
phone,在吗？CBHU3049499这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
email,我的税单怎么还没出来？OOLU981351238这票上周就清关放行了，客户要税单做抵扣，请问税单一般多久能拿到？
wechat,急！EMCS3821365350的柜子CBHU6431983还在场站没提出来，拖车约了明天早上装货，再提不到柜子就赶不上截关了，麻烦赶紧协调。
wechat,提单号HLCU7736525027的货到休斯敦港了，但是船公司说目的港拥堵要排队卸船，客户问还要等多久，这个延误证明能不能开一份给我们向客户交代？
email,请问你们的账单多久出一期？付款后水单发到哪个邮箱？另外能不能把汇率和费用单价在账单备注里写清楚，方便我们财务对账。
phone,帮我看下提单HLCU1947692041对应的货进了多少件数，和我们的装箱单差了45箱，是不是少收了？需要你们仓库盘点确认下。
email,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
wechat,帮我看下EMCS4919946657的报关单退税率是多少，品名是铝合金型材，客户说要按13%退税，我们不确定归类对不对，帮忙核一下。
email,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
email,您好，我司一批货（提单号MAEU5318955985）已于昨日到仓，但截至目前库存系统里仍查不到入库记录，仓库也回复说找不到货位，麻烦尽快核实入库状态并回复，客户等着发货。
wechat,您好，核对贵司上月账单时发现提单号EMCS4745357285多收了THC费：报价是USD210，账单上开了USD335，请核实并退回多收部分，否则这笔款我们暂缓支付。
email,我们想下周三订一个40HQ从青岛出运到洛杉矶，是2类危险品，请问危险品舱位好订吗？需要提前多少天订舱？
email,今天下午到库的SEGU6941939柜货，外包装有几箱明显破损，请安排验货拍照留底，先不要上架，等我们确认处理方式。
phone,为什么这票的文件费收了两次？提单号OOLU7144354825和COSU4889633176是同一票货分出来的两份提单，文件费按理只收一份，请核实账单。
email,为什么这票的文件费收了两次？提单号OOLU4732753983和COSU7598174646是同一票货分出来的两份提单，文件费按理只收一份，请核实账单。
phone,帮我看下COSU3600557310的报关单退税率是多少，品名是铝合金型材，客户说要按13%退税，我们不确定归类对不对，帮忙核一下。
wechat,帮我看下EMCS1457806226的报关单退税率是多少，品名是铝合金型材，客户说要按13%退税，我们不确定归类对不对，帮忙核一下。
email,您好，提单号MAEU1332986477这票货原计划09月07日从大连开船，但船公司通知舱位被甩了，现在客户催得紧，请帮忙确认最近的船期，或者看看有没有其他船司可以订舱。
email,请问你们的系统对接方式有哪些？我们想了解下能不能和我们的ERP做数据对接，另外有没有操作培训资料？
email,客户来电：问下天津出口的木托盘是不是要做熏蒸消毒？我们没做熏蒸直接装柜了，会不会在口岸被查？现在柜子还没进港，还来得及处理吗？
wechat,我的税单怎么还没出来？COSU7238816152这票上周就清关放行了，客户要税单做抵扣，请问税单一般多久能拿到？
email,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
wechat,我的税单怎么还没出来？OOLU1717999521这票上周就清关放行了，客户要税单做抵扣，请问税单一般多久能拿到？
wechat,客户来电催件：HLCU5228260438这票货说好上周五到迪拜，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
phone,您好，提单号EMCS4112760260这票货原计划09月13日从深圳开船，但船公司通知舱位被甩了，现在客户催得紧，请帮忙确认最近的船期，或者看看有没有其他船司可以订舱。
phone,客户来电：仓库里的货要打出库单，系统显示待拣货状态三天了一直没动，问一下拣货排队要多久，能不能今天出。
phone,我司有一批货需要在贵司仓库暂存两周后再发运（提单号MSCU690985753），请报一下仓储费标准，以及免堆期过后每天的费用怎么算。
email,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
wechat,客户来电催件：HLCU8696653373这票货说好上周五到迪拜，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
email,请问你们的账单多久出一期？付款后水单发到哪个邮箱？另外能不能把汇率和费用单价在账单备注里写清楚，方便我们财务对账。
email,这批EMCS7381641403的账单能月结吗？我们每月货量大概80票，之前跟销售谈过账期30天，麻烦把账单汇总一下月底一起开票。
wechat,HLCU1187974350这票目的港代理说找不到舱单信息，让核对提单号和船名航次，请尽快和船司确认是不是舱单没发送，急等。
phone,我们的设备从休斯敦进口，关税和增值税分别是多少？设备用于鼓励项目，听说可以办免税，需要什么手续和资料？
wechat,这批MAEU4738860656的账单能月结吗？我们每月货量大概120票，之前跟销售谈过账期30天，麻烦把账单汇总一下月底一起开票。
email,您好，我们的货在鹿特丹海关布控查验了，提单号MAEU6139626948，说是申报品名和实际货物可能不符，现在被扣货了。请问查验一般要多久？需要我们补充什么资料？客户催得非常急。
email,我们想下周三订一个40HQ从深圳出运到迪拜，是2类危险品，请问危险品舱位好订吗？需要提前多少天订舱？
email,在吗？SEGU2975701这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
email,从深圳到休斯敦这条线的船期最近是不是延误严重？我们有两票货（提单号MAEU2041508568、EMCS8968845806）都比预计到港时间晚了一周以上，请给出最新的ETA。
email,对账发现我们6月份一共付了两次MSCU2221808073的运费，金额都是USD2350，请核实是重复收款还是两笔不同费用，多收的部分请安排退款。
wechat,第一次从深圳口岸出口，想确认下报关需要的全套资料：我们准备了装箱单、商业发票和报关草单，报关委托书是电子的还是要纸质盖章？HS编码5390.26，麻烦帮忙确认归类有没有问题。
wechat,您好，我司一批货（提单号MAEU2325231724）已于昨日到仓，但截至目前库存系统里仍查不到入库记录，仓库也回复说找不到货位，麻烦尽快核实入库状态并回复，客户等着发货。
wechat,第一次从上海口岸出口，想确认下报关需要的全套资料：我们准备了装箱单、商业发票和报关草单，报关委托书是电子的还是要纸质盖章？HS编码6068.93，麻烦帮忙确认归类有没有问题。
wechat,今天下午到库的GHCU6068298柜货，外包装有几箱明显破损，请安排验货拍照留底，先不要上架，等我们确认处理方式。
email,为什么这票的文件费收了两次？提单号HLCU2094763896和COSU2705585995是同一票货分出来的两份提单，文件费按理只收一份，请核实账单。
email,提单号MAEU5543749394的货到纽约港了，但是船公司说目的港拥堵要排队卸船，客户问还要等多久，这个延误证明能不能开一份给我们向客户交代？
email,HLCU5720138568这票目的港代理说找不到舱单信息，让核对提单号和船名航次，请尽快和船司确认是不是舱单没发送，急等。
wechat,今天下午到库的TCLU7720644柜货，外包装有几箱明显破损，请安排验货拍照留底，先不要上架，等我们确认处理方式。
wechat,帮我看下提单OOLU610289448对应的货进了多少件数，和我们的装箱单差了60箱，是不是少收了？需要你们仓库盘点确认下。
email,请把这票EMCS2062750929的费用明细发我们一份：海运费、文件费、报关费分别列清楚，另外发票抬头要开成我们总公司，税号随后发你。
wechat,帮我看下提单HLCU3603614567对应的货进了多少件数，和我们的装箱单差了60箱，是不是少收了？需要你们仓库盘点确认下。
email,客户来电：仓库里的货要打出库单，系统显示待拣货状态三天了一直没动，问一下拣货排队要多久，能不能今天出。
phone,您好，提单号EMCS9282994340这票货原计划09月09日从天津开船，但船公司通知舱位被甩了，现在客户催得紧，请帮忙确认最近的船期，或者看看有没有其他船司可以订舱。
wechat,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
wechat,客户来电催件：COSU9213379885这票货说好上周五到长滩，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
wechat,提单号MSCU6708141858的货到纽约港了，但是船公司说目的港拥堵要排队卸船，客户问还要等多久，这个延误证明能不能开一份给我们向客户交代？
email,我们的设备从釜山进口，关税和增值税分别是多少？设备用于鼓励项目，听说可以办免税，需要什么手续和资料？
phone,您好，请问贵司官网的企业介绍和相关资质文件在哪里可以下载？我们采购部要做供应商准入审核，想了解一下你们的服务范围。
wechat,第一次从青岛口岸出口，想确认下报关需要的全套资料：我们准备了装箱单、商业发票和报关草单，报关委托书是电子的还是要纸质盖章？HS编码7659.92，麻烦帮忙确认归类有没有问题。
wechat,您好，核对贵司上月账单时发现提单号EMCS9957054113多收了THC费：报价是USD210，账单上开了USD335，请核实并退回多收部分，否则这笔款我们暂缓支付。
email,麻烦帮我改单：提单号MAEU5515031531，目的港收货人公司名称打错了一个字母，需要把提单上的收货人更正过来，费用我们承担，今天能改好吗？
email,客户来电：问下大连出口的木托盘是不是要做熏蒸消毒？我们没做熏蒸直接装柜了，会不会在口岸被查？现在柜子还没进港，还来得及处理吗？
wechat,对账发现我们6月份一共付了两次MSCU3481731378的运费，金额都是USD2350，请核实是重复收款还是两笔不同费用，多收的部分请安排退款。
email,这票EMCS6899567490的海关查验费和滞港费，是因为申报要素不完整导致的，这个费用应该我们出还是货代出？另外帮忙看看能不能申请快速放行。
wechat,为什么这票的文件费收了两次？提单号COSU3606639908和EMCS9625813586是同一票货分出来的两份提单，文件费按理只收一份，请核实账单。
email,今天下午到库的TEMU8525204柜货，外包装有几箱明显破损，请安排验货拍照留底，先不要上架，等我们确认处理方式。
phone,我们在天津有一批货要发迪拜，20GP一个，想问下最近一周的船期和运价，另外需要含拖车和报关的门到门报价。
email,你们的客服邮箱是不是换了？之前发的邮件被退回了，麻烦确认下最新的联系方式和值班时间。
email,你们的客服邮箱是不是换了？之前发的邮件被退回了，麻烦确认下最新的联系方式和值班时间。
email,我们想下周三订一个40HQ从广州出运到悉尼，是2类危险品，请问危险品舱位好订吗？需要提前多少天订舱？
email,帮我看下提单HLCU6705351600对应的货进了多少件数，和我们的装箱单差了45箱，是不是少收了？需要你们仓库盘点确认下。
email,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
email,帮我看下COSU165857791的报关单退税率是多少，品名是铝合金型材，客户说要按13%退税，我们不确定归类对不对，帮忙核一下。
email,这批COSU5518365941的账单能月结吗？我们每月货量大概40票，之前跟销售谈过账期30天，麻烦把账单汇总一下月底一起开票。
wechat,麻烦帮我改单：提单号EMCS726733282，目的港收货人公司名称打错了一个字母，需要把提单上的收货人更正过来，费用我们承担，今天能改好吗？
email,请问清关大概需要几个工作日？客户问提单号EMCS6502059279这票什么时候能提货，海关那边还需要补充什么单证吗？
email,客户来电：仓库里的货要打出库单，系统显示待拣货状态三天了一直没动，问一下拣货排队要多久，能不能今天出。
email,EMCS9869937079这票目的港代理说找不到舱单信息，让核对提单号和船名航次，请尽快和船司确认是不是舱单没发送，急等。
wechat,客户来电：问下青岛出口的木托盘是不是要做熏蒸消毒？我们没做熏蒸直接装柜了，会不会在口岸被查？现在柜子还没进港，还来得及处理吗？
email,请问清关大概需要几个工作日？客户问提单号MAEU2834812163这票什么时候能提货，海关那边还需要补充什么单证吗？
phone,请问清关大概需要几个工作日？客户问提单号COSU9009257076这票什么时候能提货，海关那边还需要补充什么单证吗？
wechat,我们的设备从东京进口，关税和增值税分别是多少？设备用于鼓励项目，听说可以办免税，需要什么手续和资料？
phone,问下MSCU7298619这个柜子还柜了吗？系统显示租箱公司还在计费，如果已经还场请把还柜单发我一份。
wechat,在吗？GHCU7536772这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
wechat,在吗？TCLU2503554这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
email,急！EMCS4301221330的柜子GHCU7387623还在场站没提出来，拖车约了明天早上装货，再提不到柜子就赶不上截关了，麻烦赶紧协调。
email,客户来电催件：HLCU5682393412这票货说好上周五到釜山，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
email,今天下午到库的MSCU4369728柜货，外包装有几箱明显破损，请安排验货拍照留底，先不要上架，等我们确认处理方式。
phone,麻烦帮我改单：提单号COSU6010112521，目的港收货人公司名称打错了一个字母，需要把提单上的收货人更正过来，费用我们承担，今天能改好吗？
wechat,急！HLCU7285384294的柜子CBHU5239295还在场站没提出来，拖车约了明天早上装货，再提不到柜子就赶不上截关了，麻烦赶紧协调。
wechat,为什么这票的文件费收了两次？提单号OOLU8554334062和EMCS464994639是同一票货分出来的两份提单，文件费按理只收一份，请核实账单。
email,这票OOLU5344291385的海关查验费和滞港费，是因为申报要素不完整导致的，这个费用应该我们出还是货代出？另外帮忙看看能不能申请快速放行。
email,从大连到汉堡这条线的船期最近是不是延误严重？我们有两票货（提单号COSU5734526139、HLCU3468413994）都比预计到港时间晚了一周以上，请给出最新的ETA。
email,急！MAEU8042167666的柜子CBHU5092180还在场站没提出来，拖车约了明天早上装货，再提不到柜子就赶不上截关了，麻烦赶紧协调。
email,为什么这票的文件费收了两次？提单号EMCS892214339和EMCS7218083267是同一票货分出来的两份提单，文件费按理只收一份，请核实账单。
email,在吗？TCLU5401559这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
wechat,问下SEGU2421902这个柜子还柜了吗？系统显示租箱公司还在计费，如果已经还场请把还柜单发我一份。
email,你们的客服邮箱是不是换了？之前发的邮件被退回了，麻烦确认下最新的联系方式和值班时间。
email,从大连到东京这条线的船期最近是不是延误严重？我们有两票货（提单号COSU8011266259、OOLU4436127859）都比预计到港时间晚了一周以上，请给出最新的ETA。
email,您好，核对贵司上月账单时发现提单号MSCU1354516608多收了THC费：报价是USD210，账单上开了USD335，请核实并退回多收部分，否则这笔款我们暂缓支付。
email,这批OOLU7482963909的账单能月结吗？我们每月货量大概40票，之前跟销售谈过账期30天，麻烦把账单汇总一下月底一起开票。
wechat,客户来电：仓库里的货要打出库单，系统显示待拣货状态三天了一直没动，问一下拣货排队要多久，能不能今天出。
email,客户来电：问下深圳出口的木托盘是不是要做熏蒸消毒？我们没做熏蒸直接装柜了，会不会在口岸被查？现在柜子还没进港，还来得及处理吗？
wechat,我们在宁波有一批货要发悉尼，20GP一个，想问下最近一周的船期和运价，另外需要含拖车和报关的门到门报价。
email,请问你们的系统对接方式有哪些？我们想了解下能不能和我们的ERP做数据对接，另外有没有操作培训资料？
wechat,问下MSCU1812172这个柜子还柜了吗？系统显示租箱公司还在计费，如果已经还场请把还柜单发我一份。
email,我们的设备从长滩进口，关税和增值税分别是多少？设备用于鼓励项目，听说可以办免税，需要什么手续和资料？
wechat,客户来电：仓库里的货要打出库单，系统显示待拣货状态三天了一直没动，问一下拣货排队要多久，能不能今天出。
wechat,急！HLCU3080840461的柜子TEMU2498726还在场站没提出来，拖车约了明天早上装货，再提不到柜子就赶不上截关了，麻烦赶紧协调。
wechat,从广州到休斯敦这条线的船期最近是不是延误严重？我们有两票货（提单号EMCS713549255、OOLU2519317349）都比预计到港时间晚了一周以上，请给出最新的ETA。
phone,在吗？TEMU6276495这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
wechat,您好，提单号EMCS8156616444这票货原计划09月05日从上海开船，但船公司通知舱位被甩了，现在客户催得紧，请帮忙确认最近的船期，或者看看有没有其他船司可以订舱。
wechat,在吗？MSCU3898604这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
email,您好，核对贵司上月账单时发现提单号HLCU6570843264多收了THC费：报价是USD210，账单上开了USD335，请核实并退回多收部分，否则这笔款我们暂缓支付。
phone,从青岛到鹿特丹这条线的船期最近是不是延误严重？我们有两票货（提单号OOLU5798349136、OOLU4678929439）都比预计到港时间晚了一周以上，请给出最新的ETA。
wechat,您好，我们的货在温哥华海关布控查验了，提单号COSU854393408，说是申报品名和实际货物可能不符，现在被扣货了。请问查验一般要多久？需要我们补充什么资料？客户催得非常急。
email,客户来电投诉：说好海运费锁价2800一个方，账单按3200收的，业务员说汇率涨了要补差价，合同里没这条，请给个说法，不然以后货不发你们家了。
phone,你们的客服邮箱是不是换了？之前发的邮件被退回了，麻烦确认下最新的联系方式和值班时间。
phone,从宁波到新加坡这条线的船期最近是不是延误严重？我们有两票货（提单号MAEU1901177461、COSU5461249549）都比预计到港时间晚了一周以上，请给出最新的ETA。
email,您好，核对贵司上月账单时发现提单号HLCU8023555411多收了THC费：报价是USD210，账单上开了USD335，请核实并退回多收部分，否则这笔款我们暂缓支付。
wechat,提单号MSCU3518680334的货到温哥华港了，但是船公司说目的港拥堵要排队卸船，客户问还要等多久，这个延误证明能不能开一份给我们向客户交代？
wechat,对账发现我们6月份一共付了两次HLCU4381907480的运费，金额都是USD2350，请核实是重复收款还是两笔不同费用，多收的部分请安排退款。
wechat,为什么这票的文件费收了两次？提单号MAEU4662470175和EMCS4241285960是同一票货分出来的两份提单，文件费按理只收一份，请核实账单。
email,对账发现我们6月份一共付了两次MSCU2611301900的运费，金额都是USD2350，请核实是重复收款还是两笔不同费用，多收的部分请安排退款。
email,急！MAEU7341550421的柜子MSCU3488460还在场站没提出来，拖车约了明天早上装货，再提不到柜子就赶不上截关了，麻烦赶紧协调。
email,我的税单怎么还没出来？MAEU8484191089这票上周就清关放行了，客户要税单做抵扣，请问税单一般多久能拿到？
wechat,问下TCLU1365746这个柜子还柜了吗？系统显示租箱公司还在计费，如果已经还场请把还柜单发我一份。
email,请问仓库的收货时间是每天几点到几点？我们有一票货想约明天上午送仓，需要提前准备什么资料？
email,从宁波到长滩这条线的船期最近是不是延误严重？我们有两票货（提单号MAEU2749896750、EMCS5662434335）都比预计到港时间晚了一周以上，请给出最新的ETA。
wechat,您好，我们的货在长滩海关布控查验了，提单号HLCU5937342064，说是申报品名和实际货物可能不符，现在被扣货了。请问查验一般要多久？需要我们补充什么资料？客户催得非常急。
email,客户来电：问下上海出口的木托盘是不是要做熏蒸消毒？我们没做熏蒸直接装柜了，会不会在口岸被查？现在柜子还没进港，还来得及处理吗？
email,这批EMCS7391250562的账单能月结吗？我们每月货量大概60票，之前跟销售谈过账期30天，麻烦把账单汇总一下月底一起开票。
email,第一次从青岛口岸出口，想确认下报关需要的全套资料：我们准备了装箱单、商业发票和报关草单，报关委托书是电子的还是要纸质盖章？HS编码6550.17，麻烦帮忙确认归类有没有问题。
email,我的税单怎么还没出来？MAEU8091514523这票上周就清关放行了，客户要税单做抵扣，请问税单一般多久能拿到？
email,请把这票HLCU7352045593的费用明细发我们一份：海运费、文件费、报关费分别列清楚，另外发票抬头要开成我们总公司，税号随后发你。
phone,下周三上午有一批从广州发来的货要进仓，大概5个托盘、30箱，麻烦帮忙预约入库时间，另外这批货需要重新贴标后再上架，贴标费用麻烦提前确认一下。
email,在吗？TEMU6892681这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
email,您好，我们的货在洛杉矶海关布控查验了，提单号COSU4481201661，说是申报品名和实际货物可能不符，现在被扣货了。请问查验一般要多久？需要我们补充什么资料？客户催得非常急。
wechat,我们的设备从东京进口，关税和增值税分别是多少？设备用于鼓励项目，听说可以办免税，需要什么手续和资料？
email,在吗？TEMU2470159这个柜子的货今天能安排上架吗？上次说好今天入库的，电商那边等着上架销售呢，麻烦回个准信。
phone,提单号MAEU6102076563的货到东京港了，但是船公司说目的港拥堵要排队卸船，客户问还要等多久，这个延误证明能不能开一份给我们向客户交代？
email,客户来电催件：MSCU7990193183这票货说好上周五到迪拜，到现在还没消息，收货人一天三个电话催我们，请今天下班前给个准确答复。
wechat,请问你们的系统对接方式有哪些？我们想了解下能不能和我们的ERP做数据对接，另外有没有操作培训资料？
email,请问清关大概需要几个工作日？客户问提单号MSCU927752234这票什么时候能提货，海关那边还需要补充什么单证吗？
wechat,我司有一批货需要在贵司仓库暂存两周后再发运（提单号COSU6627011028），请报一下仓储费标准，以及免堆期过后每天的费用怎么算。
phone,帮我看下提单HLCU7207258941对应的货进了多少件数，和我们的装箱单差了60箱，是不是少收了？需要你们仓库盘点确认下。
phone,这批EMCS1120395327的账单能月结吗？我们每月货量大概120票，之前跟销售谈过账期30天，麻烦把账单汇总一下月底一起开票。
wechat,帮我看下COSU7525136942的报关单退税率是多少，品名是铝合金型材，客户说要按13%退税，我们不确定归类对不对，帮忙核一下。
email,HLCU224331395这票目的港代理说找不到舱单信息，让核对提单号和船名航次，请尽快和船司确认是不是舱单没发送，急等。
wechat,TEMU6867997上周三就已经还场了，为什么这个月账单还在收滞箱费？请核对免箱期和还柜记录，把这笔费用取消。
email,对账发现我们6月份一共付了两次MSCU2880475472的运费，金额都是USD2350，请核实是重复收款还是两笔不同费用，多收的部分请安排退款。
wechat,您好，我司一批货（提单号MSCU9773943282）已于昨日到仓，但截至目前库存系统里仍查不到入库记录，仓库也回复说找不到货位，麻烦尽快核实入库状态并回复，客户等着发货。
wechat,您好，我司一批货（提单号OOLU8000070153）已于昨日到仓，但截至目前库存系统里仍查不到入库记录，仓库也回复说找不到货位，麻烦尽快核实入库状态并回复，客户等着发货。
